t [s];P [Pa];Q [m^3/s];A [m^2];P_f [Pa];P_b [Pa];Q_f [m^3/s];Q_b [m^3/s]
0.0;10156.158973484306;3.7687907605262901e-06;0.00053992496548784972;-1.8653842828738512;-1.7389864931279639;-2.8298635591531379e-07;2.6381129893411601e-07
0.00034602076124567478;10152.554602708304;3.7496157035450923e-06;0.00053977011770380316;-3.7260187764048691;-3.4749110213771406;-5.652521495368809e-07;5.2715808538625412e-07
0.00069204152249134957;10148.958043686524;3.7306966963756633e-06;0.00053961557286368283;-5.5819133705504651;-5.2078422626013339;-8.4679888121142297e-07;7.9005077806527895e-07
0.0010380622837370243;10145.369217851154;3.7120426573801461e-06;0.00053946132778768174;-7.4330807674888248;-6.9378477326698729;-1.1276284779107089e-06;1.0524996194020599e-06
0.0013840830449826991;10141.788044984147;3.6936619020176411e-06;0.00053930737922192908;-9.2795365835914581;-8.6649936765865405;-1.407743308701777e-06;1.3145146590323437e-06
0.001730103806228374;10138.214443224128;3.6755621108568568e-06;0.00053915372383872399;-11.121299445488573;-10.389344962314256;-1.6871461993197944e-06;1.5761057376888811e-06
0.0020761245674740486;10134.648329076503;3.6577502988953768e-06;0.00053900035823690779;-12.958391076273951;-12.110964975556303;-1.965840445246157e-06;1.8372824712397832e-06
0.0024221453287197234;10131.089617432475;3.6402327865199165e-06;0.00053884727894261929;-14.79083636807816;-13.829915513928356;-2.2438298227179667e-06;2.098054234633817e-06
0.0027681660899653983;10127.538221602299;3.6230151724421405e-06;0.0005386944824106656;-16.618538775040356;-15.546255253154236;-2.5210996853369352e-06;2.3584299292161838e-06
0.0031141868512110731;10123.994179456111;3.6061210044055391e-06;0.00053854197045328817;-18.440872082119007;-17.260034990466316;-2.7975550337431036e-06;2.6184172611327352e-06
0.0034602076124567479;10120.45806641172;3.5896529879159225e-06;0.00053838976802354495;-20.255934679223195;-18.971289067020713;-3.0729073859786642e-06;2.8780214400760425e-06
